Date,Open,High,Low,Close,Adj Close,Volume
2017-03-22,34.553288,34.890324,31.831730,33.957893,33.957893,91388242
2017-03-23,34.136822,35.749500,33.132122,34.903625,34.903625,80489052
2017-03-24,34.871346,43.430496,34.628277,42.598457,42.598457,238265834
2017-03-25,42.974174,42.974174,38.751663,41.108528,41.108528,178919554
2017-03-26,40.723431,41.552017,39.480816,40.381744,40.381744,85412037
2017-03-27,41.013588,41.911720,38.959946,39.553158,39.553158,94750338
2017-03-28,39.587799,40.570301,39.118919,40.901321,40.901321,78737953
2017-03-29,40.735703,43.306534,40.758347,42.712734,42.712734,116576620
2017-03-30,42.711449,42.853466,41.790989,41.841629,41.841629,69636688
2017-03-31,41.479282,41.315483,37.931549,39.873535,39.873535,120659813
2017-04-01,39.870667,41.380428,38.947567,40.401230,40.401230,73680694
2017-04-02,40.432224,40.859432,36.216057,38.874561,38.874561,107339712
2017-04-03,38.932377,38.926170,34.766697,35.519218,35.519218,152556848
2017-04-04,35.171204,36.788868,33.549213,35.891541,35.891541,126682746
2017-04-05,35.906979,38.456234,35.793701,36.289650,36.289650,95909163
2017-04-06,36.222767,36.598427,32.804859,34.682468,34.682468,117998075
2017-04-07,34.380093,35.323254,33.650616,34.079052,34.079052,65854109
2017-04-08,33.784676,36.538391,33.730038,35.812397,35.812397,59924668
2017-04-09,35.790817,35.960640,34.669254,34.971710,34.971710,44570805
2017-04-10,34.980278,35.541874,34.164642,34.966351,34.966351,35470536
2017-04-11,35.019642,35.610203,34.689716,34.761913,34.761913,30674541
2017-04-12,34.806438,37.677090,34.499039,36.888191,36.888191,70167115
2017-04-13,36.906757,40.682220,36.900875,40.172306,40.172306,125749940
2017-04-14,39.973923,40.033672,37.323410,38.001518,38.001518,73228213
2017-04-15,38.065102,39.595814,37.683041,39.221584,39.221584,52885853
2017-04-16,39.170700,39.254814,38.491333,38.869076,38.869076,25007020
2017-04-17,38.822163,38.803852,38.327988,38.474392,38.474392,35056391
2017-04-18,38.485863,39.992321,38.465355,39.479523,39.479523,61311504
2017-04-19,39.496262,39.676041,36.980049,37.797577,37.797577,59687793
2017-04-20,37.662209,39.011238,37.671051,38.806404,38.806404,62188200
2017-04-21,38.783829,38.801235,37.574383,37.640026,37.640026,35161020
2017-04-22,37.607243,38.044098,37.599983,37.896503,37.896503,29158289
2017-04-23,37.927334,38.156105,37.590214,37.814320,37.814320,28257038
2017-04-24,38.108631,39.247147,38.111603,39.163601,39.163601,43507318
2017-04-25,39.197338,39.262878,38.796463,38.880299,38.880299,29819669
2017-04-26,38.894482,41.607723,38.891453,41.040245,41.040245,81647205
2017-04-27,41.106724,48.221920,40.675690,48.221920,48.221920,191417164
2017-04-28,48.267838,54.716171,48.176476,54.185360,54.185360,267644411
2017-04-29,55.135620,55.533596,51.574684,52.808849,52.808849,127778807
2017-04-30,52.935284,61.124073,52.786301,61.124073,61.124073,177865866
2017-05-01,61.356438,63.922466,56.722237,59.163303,59.163303,292216178
2017-05-02,59.439667,61.490353,57.593929,59.709274,59.709274,149747289
2017-05-03,59.701698,62.041286,58.522629,61.936291,61.936291,110264936
2017-05-04,61.938000,75.488930,61.694057,75.039772,75.039772,283849433
2017-05-05,74.848885,79.833733,71.306267,72.726112,72.726112,255722650
2017-05-06,73.121803,75.405159,70.069420,75.357086,75.357086,116688751
2017-05-07,75.400154,75.684975,69.336006,72.514114,72.514114,141387695
2017-05-08,72.313332,73.430771,69.048599,70.654922,70.654922,178795888
2017-05-09,70.506218,71.869553,62.192402,70.412376,70.412376,280709032
2017-05-10,70.403259,71.696449,65.914139,69.254196,69.254196,112634021
2017-05-11,69.444344,79.642746,68.788605,69.755295,69.755295,103005044
2017-05-12,69.405197,72.407356,68.815804,68.815804,68.815804,113191796
2017-05-13,68.846077,72.818680,67.267097,70.507957,70.507957,68883179
2017-05-14,70.536057,70.828453,69.553680,70.470001,70.470001,51266475
2017-05-15,70.468140,73.874046,67.377357,71.633904,71.633904,132547095
2017-05-16,71.612823,72.500854,68.997833,69.256622,69.256622,117922403
2017-05-17,69.111275,70.521713,65.358414,69.288612,69.288612,141129622
2017-05-18,69.273193,74.749420,69.289215,74.813789,74.813789,151499260
2017-05-19,74.926895,103.144638,74.955826,99.383865,99.383865,481044290
2017-05-20,99.149849,102.540482,95.681732,97.077423,97.077423,254319809
2017-05-21,97.856979,122.243065,96.592499,121.405945,121.405945,438435716
2017-05-22,121.587364,155.476273,117.269653,134.139786,134.139786,915179702
2017-05-23,131.489487,141.627319,130.817551,140.438400,140.438400,409624106
2017-05-24,140.976379,176.596039,140.755295,146.448334,146.448334,432314106
2017-05-25,146.296524,162.833984,131.869293,134.915695,134.915695,729804324
2017-05-26,135.511978,150.484039,117.285568,125.363815,125.363815,619349733
